,Value
2024-04-01,18.865998993025233
2024-05-01,19.62505678528885
2024-06-01,13.664647264979857
2024-07-01,10.238379860784455
2024-08-01,4.960892756794397
2024-09-01,1.6034277262582606
2024-10-01,-0.7951332054229842
2024-11-01,-0.06991987027269464
2024-12-01,6.496712530010704
2025-01-01,10.912777713776672
